Song Name,Album,Duration (minutes),Release Year,Popularity
cuidado,meteora 20th anniversary edition,3.3,2023,39
standing in the middle,meteora 20th anniversary edition,3.36,2023,36
what i've done,one more light live,4.56,2017,40
faint,meteora 20th anniversary edition,3.93,2023,35
new divide,papercuts: instrumentals,4.5,2024,39
shifter,meteora 20th anniversary edition,3.41,2023,36
castle of glass,living things: acapellas and instrumentals,2.82,2012,38
from the inside,meteora 20th anniversary edition,3.01,2023,39
one step closer,papercuts: instrumentals,2.59,2024,39
talking to myself,one more light live,5.28,2017,40
numb,meteora 20th anniversary edition,3.24,2023,38
sharp edges,one more light live,4.79,2017,39
new divide,one more light live,4.51,2017,40
burn it down,papercuts: instrumentals,3.84,2024,40
bleed it out,one more light live,4.95,2017,39
pretty birdy,meteora 20th anniversary edition,4.09,2023,35
numb,numb,3.45,2004,34
cure for the itch,hybrid theory,2.62,2020,35
massive,lost demos,3.13,2023,32
heavy,one more light live,2.94,2017,39
husky,meteora 20th anniversary edition,3.23,2023,35
lost,lost demos,3.32,2023,35
what i've done,minutes to midnight,3.79,2007,34
plaster 2,meteora 20th anniversary edition,2.94,2023,34
dedicated,hybrid theory,3.2,2020,34
stick n move,hybrid theory,3.29,2020,33
new divide,new divide,3.93,2009,30
so far away,hybrid theory,2.84,2020,33
crawling,meteora 20th anniversary edition,3.69,2023,38
qwerty,papercuts: instrumentals,3.36,2024,39
leave out all the rest,papercuts: instrumentals,3.32,2024,38
pts.of.athrty,hybrid theory,3.76,2020,34
sold my soul to yo mama,meteora 20th anniversary edition,1.97,2023,34
blue,hybrid theory,3.46,2020,34
in the end,meteora 20th anniversary edition,4.06,2023,38
enth e nd,hybrid theory,4.0,2020,34
wish,meteora 20th anniversary edition,4.47,2023,35
what i've done,minutes to midnight,3.42,2007,29
lost,papercuts: instrumentals,3.36,2024,38
good goodbye,one more light live,4.15,2017,39
program,meteora 20th anniversary edition,3.53,2023,34
burn it down,recharged,4.77,2013,33
a,meteora 20th anniversary edition,3.86,2023,34
a light that never comes,recharged,4.67,2013,33
high voltage,hybrid theory,3.5,2020,33
frgt,hybrid theory,3.53,2020,33
a place for my head,hybrid theory,3.08,2000,49
halo,meteora 20th anniversary edition,3.7,2023,33
points of authority,hybrid theory,3.34,2000,50
friendly fire,papercuts: instrumentals,2.94,2024,37
krwlng,hybrid theory,5.67,2020,34
battle symphony,one more light live,3.75,2017,38
attached,meteora 20th anniversary edition,3.48,2023,33
breaking the habit,meteora live around the world,4.27,2012,35
crawling,hybrid theory,3.83,2020,32
wth>you,hybrid theory,4.21,2020,33
slip,hybrid theory,3.48,2020,32
drawing,meteora 20th anniversary edition,3.53,2023,33
one step closer,meteora 20th anniversary edition,3.96,2023,33
roads untraveled,recharged,5.47,2013,32
one step closer,road to revolution,4.12,2008,35
one step closer,hybrid theory live around the world,4.22,2012,34
pushing me away,road to revolution,3.31,2008,34
broken foot,meteora 20th anniversary edition,2.72,2023,32
dialate,hybrid theory,3.42,2020,31
rhinocerous,meteora 20th anniversary edition,3.59,2023,32
soundtrack,meteora 20th anniversary edition,3.26,2023,33
p5hng me a*wy,hybrid theory,4.63,2020,33
invisible,one more light live,4.5,2017,37
interrogation,meteora 20th anniversary edition,3.67,2023,33
victimized,recharged,3.0,2013,31
healing foot,lost demos,3.52,2023,31
opening,hybrid theory,1.13,2020,34
nobody can save me,one more light live,4.0,2017,37
dirt off your shoulder,collision course,4.08,2004,24
reading my eyes,hybrid theory,2.99,2020,32
somewhere i belong,meteora live around the world,4.15,2012,34
ominous,meteora 20th anniversary edition,3.14,2023,32
powerless,recharged,6.13,2013,31
bleed it out,road to revolution,8.25,2008,34
lies greed misery,recharged,4.84,2013,31
somewhere i belong,meteora 20th anniversary edition,3.62,2023,34
bleed it out,minutes to midnight live around the world,5.56,2012,34
plc.4 mie hæd,hybrid theory,4.35,2020,31
don't stay,meteora 20th anniversary edition,3.26,2023,34
the catalyst,a thousand suns live around the world,5.9,2012,40
rhinestone,hybrid theory,3.68,2020,30
crawling,hybrid theory live around the world,4.68,2012,33
one step closer,hybrid theory,2.62,2020,31
faint,meteora 20th anniversary edition,2.77,2023,33
given up,minutes to midnight live around the world,3.31,2012,35
pepper,meteora 20th anniversary edition,2.93,2023,32
with you,hybrid theory,3.39,2000,50
i'll be gone,recharged,6.19,2013,30
no more sorrow,road to revolution,5.11,2008,34
points of authority,hybrid theory,3.35,2020,30
unfortunate,meteora 20th anniversary edition,2.11,2023,31
carousel,hybrid theory,2.98,2020,30
papercut,meteora 20th anniversary edition,3.1,2023,34
step up,meteora 20th anniversary edition,4.96,2023,32
my december,hybrid theory,4.35,2020,35
1stp klosr,hybrid theory,5.77,2020,31
runaway,hybrid theory,3.07,2000,50
breaking the habit,meteora 20th anniversary edition,3.3,2023,31
ppr:kut,hybrid theory,3.44,2020,31
breaking the habit,road to revolution,4.41,2008,33
big pimpin',collision course,2.61,2004,23
lying from you,meteora 20th anniversary edition,3.66,2023,34
session,meteora 20th anniversary edition,1.23,2023,34
esaul,hybrid theory,3.12,2020,30
x,hybrid theory,1.82,2020,30
points of authority,collision course,4.93,2004,23
buy myself,hybrid theory,4.46,2020,31
superxero,hybrid theory,3.3,2020,30
faint,meteora live around the world,3.69,2012,33
lying from you,road to revolution,3.32,2008,33
breaking the habit,meteora 20th anniversary edition,5.58,2023,33
papercut,hybrid theory live around the world,3.14,2012,33
skin to bone,recharged,3.9,2013,29
waiting for the end,a thousand suns live around the world,3.94,2012,34
esaul,hybrid theory,3.11,2020,30
the little things give you away,road to revolution,7.33,2008,32
numb,meteora live around the world,3.69,2012,33
a place for my head,hybrid theory live around the world,3.95,2012,33
leave out all the rest,road to revolution,3.4,2008,32
with you,meteora 20th anniversary edition,3.76,2023,33
from the inside,road to revolution,3.41,2008,33
in my remains,living things: acapellas and instrumentals,2.73,2012,31
what i've done,minutes to midnight live around the world,4.97,2012,33
my<dsmbr,hybrid theory,4.29,2020,30
points of authority,meteora 20th anniversary edition,3.43,2023,33
high voltage,hybrid theory,3.74,2020,32
until it breaks,recharged,6.01,2013,29
forgotten,hybrid theory,3.24,2000,47
a place for my head,meteora 20th anniversary edition,3.97,2023,32
don't stay,meteora live around the world,3.28,2012,32
lying from you,meteora live around the world,2.96,2012,31
one step closer,meteora 20th anniversary edition,4.06,2023,33
in the end,road to revolution,3.84,2008,33
runaway,meteora 20th anniversary edition,3.87,2023,33
h! vltg3,hybrid theory,3.51,2020,30
in the end,meteora 20th anniversary edition,4.51,2023,33
hit the floor,meteora 20th anniversary edition,3.24,2023,33
rnw@y,hybrid theory,3.22,2020,30
numb,road to revolution,3.03,2008,32
crawling,meteora 20th anniversary edition,4.0,2023,32
my december,meteora 20th anniversary edition,4.45,2023,35
in the end,hybrid theory live around the world,3.56,2012,32
from the inside,meteora 20th anniversary edition,2.99,2023,33
by myself,hybrid theory,3.16,2000,48
jigga what,road to revolution,5.18,2008,32
shadow of the day,road to revolution,4.28,2008,32
numb,road to revolution,3.77,2008,33
points of authority,hybrid theory live around the world,4.12,2012,31
crawling,road to revolution,4.96,2008,32
what i've done,road to revolution,5.03,2008,32
by_myslf,hybrid theory,3.71,2020,30
a light that never comes remix,a light that never comes remix,3.89,2014,29
pushing me away,hybrid theory,3.19,2000,48
forgotten,hybrid theory,3.75,2020,29
easier to run,meteora 20th anniversary edition,4.08,2023,32
points of authority,hybrid theory,3.01,2020,28
step up,hybrid theory,3.91,2020,29
until it breaks,recharged,4.5,2013,28
numb,numb,3.42,2004,35
izzo,collision course,2.75,2004,21
leave out all the rest,minutes to midnight live around the world,3.37,2012,33
resolution,lost demos,4.62,2023,28
pts.of.athrty,hybrid theory,4.97,2020,27
iridescent,a thousand suns live around the world,4.98,2012,32
the messenger,a thousand suns live around the world,3.89,2012,34
high voltage,hybrid theory,4.04,2020,29
a6,lost demos,3.91,2023,28
roads untraveled,living things: acapellas and instrumentals,3.18,2012,32
lying from you,meteora 20th anniversary edition,3.07,2023,30
pushing me away,hybrid theory live around the world,3.68,2012,30
kyur4 th ich,hybrid theory,2.54,2020,28
a place for my head,hybrid theory,3.17,2020,29
with you,hybrid theory,3.38,2020,29
from the inside,meteora live around the world,3.48,2012,30
papercut,hybrid theory,3.12,2020,29
jigga what,collision course,3.52,2004,21
shadow of the day,minutes to midnight live around the world,4.54,2012,31
from the inside,meteora 20th anniversary edition,2.93,2023,29
easier to run,meteora 20th anniversary edition,3.34,2023,29
in the end,hybrid theory,3.43,2020,29
faint,lost demos,3.93,2023,27
crawling,meteora 20th anniversary edition,3.58,2023,29
coal,hybrid theory,3.63,2020,27
step up,meteora 20th anniversary edition,4.25,2023,29
hands held high,road to revolution,1.44,2008,29
hurry,hybrid theory,2.58,2020,27
new divide,new divide,4.91,2009,27
hands held high,minutes to midnight live around the world,3.98,2012,30
burn it down,living things: acapellas and instrumentals,3.84,2012,27
oh no,hybrid theory,2.07,2020,26
points of authority,hybrid theory,3.41,2020,28
when they come for me,a thousand suns,4.89,2010,16
the requiem,a thousand suns live around the world,2.51,2012,32
no more sorrow,minutes to midnight live around the world,4.95,2012,29
husky,lost demos,3.23,2023,25
cuidado,lost demos,3.3,2023,26
sad,hybrid theory,1.14,2020,26
cure for the itch,hybrid theory,2.62,2000,44
when they come for me,a thousand suns live around the world,5.11,2012,28
darker than blood,darker than blood,5.22,2015,24
papercut,hybrid theory,3.2,2020,26
lost in the echo,living things: acapellas and instrumentals,3.43,2012,26
blackout,a thousand suns live around the world,4.57,2012,28
castle of glass,living things: acapellas and instrumentals,3.43,2012,26
wesside,lost demos,3.23,2023,25
plaster 2,lost demos,2.94,2023,24
chair,hybrid theory,1.94,2020,25
cure for the itch,hybrid theory live around the world,1.72,2012,27
points of authority,hybrid theory,3.49,2020,26
burning in the skies,a thousand suns live around the world,4.21,2012,29
shifter,lost demos,3.41,2023,25
bonus beat,numb,1.71,2004,27
the little things give you away,minutes to midnight live around the world,7.72,2012,27
i'll be gone,living things: acapellas and instrumentals,3.0,2012,26
numb,numb,3.33,2004,25
shadow of the day,minutes to midnight,4.83,2007,21
blackout,a thousand suns,4.66,2010,14
iridescent,a thousand suns,4.94,2010,15
wretches and kings,a thousand suns live around the world,3.91,2012,26
valentine's day,minutes to midnight live around the world,3.36,2012,27
interrogation,lost demos,3.67,2023,24
breaking the habit,a thousand suns: puerta de alcalá,4.01,2010,15
new divide,a thousand suns: puerta de alcalá,4.59,2010,16
a light that never comes remix,a light that never comes remix,5.75,2014,29
in between,minutes to midnight live around the world,3.3,2012,27
powerless,living things: acapellas and instrumentals,3.45,2012,24
in pieces,minutes to midnight live around the world,3.72,2012,27
final masquerade,the hunting party: acapellas + instrumentals,3.63,2014,26
new divide,new divide,4.5,2009,22
roads untraveled,living things: acapellas and instrumentals,3.84,2012,25
wake,minutes to midnight live around the world,1.8,2012,26
in my remains,living things: acapellas and instrumentals,3.38,2012,24
a light that never comes remix,a light that never comes remix,5.67,2014,23
a light that never comes remix,a light that never comes remix,4.01,2014,23
i'll be gone,living things: acapellas and instrumentals,3.54,2012,23
lost in the echo,living things: acapellas and instrumentals,2.95,2012,24
waiting for the end,a thousand suns: puerta de alcalá,4.08,2010,14
waiting for the end,a thousand suns,3.86,2010,12
leave out all the rest,minutes to midnight,3.49,2007,17
a light that never comes remix,a light that never comes remix,4.96,2014,22
the catalyst,a thousand suns: puerta de alcalá,5.96,2010,13
jornada del muerto,a thousand suns live around the world,1.84,2012,24
final masquerade,the hunting party: acapellas + instrumentals,3.67,2014,24
tinfoil,living things: acapellas and instrumentals,5.06,2012,22
numb,numb,3.42,2004,20
krwlng,reanimation,5.67,2002,26
what i've done,a thousand suns: puerta de alcalá,3.54,2010,13
enth e nd,reanimation,4.0,2002,27
keys to the kingdom,the hunting party: acapellas + instrumentals,3.64,2014,22
skin to bone,living things: acapellas and instrumentals,2.8,2012,21
lies greed misery,living things: acapellas and instrumentals,2.43,2012,21
victimized,living things: acapellas and instrumentals,1.81,2012,25
a light that never comes remix,a light that never comes remix,4.89,2014,21
hands held high,minutes to midnight,3.89,2007,14
skin to bone,living things: acapellas and instrumentals,2.63,2012,22
guilty all the same,the hunting party: acapellas + instrumentals,5.91,2014,21
war,the hunting party: acapellas + instrumentals,2.08,2014,22
in the end,a thousand suns: puerta de alcalá,3.8,2010,12
guilty all the same,the hunting party: acapellas + instrumentals,5.89,2014,21
wretches and kings,a thousand suns,4.18,2010,10
until it breaks,living things: acapellas and instrumentals,3.93,2012,20
wth>you,reanimation,4.21,2002,11
the catalyst,a thousand suns,5.66,2010,10
a line in the sand,the hunting party: acapellas + instrumentals,6.63,2014,20
no more sorrow,minutes to midnight,3.7,2007,15
until it's gone,the hunting party: acapellas + instrumentals,3.89,2014,20
all for nothing,the hunting party: acapellas + instrumentals,3.56,2014,20
p5hng me a*wy,reanimation,4.63,2002,24
the catalyst,waiting for the end,3.1,2010,19
rebellion,the hunting party: acapellas + instrumentals,3.75,2014,20
keys to the kingdom,the hunting party: acapellas + instrumentals,3.48,2014,20
numb,numb,3.32,2004,20
darker than blood,darker than blood,2.99,2015,11
across the line,minutes to midnight,3.17,2007,16
1stp klosr,reanimation,5.77,2002,24
wth>you,reanimation,4.21,2002,26
all for nothing,the hunting party: acapellas + instrumentals,3.24,2014,20
pts.of.athrty,reanimation,3.76,2002,28
victimized,living things: acapellas and instrumentals,1.25,2012,24
until it's gone,the hunting party: acapellas + instrumentals,3.68,2014,20
frgt,reanimation,3.53,2002,25
numb,numb,3.42,2004,21
drawbar,the hunting party: acapellas + instrumentals,3.19,2014,19
waiting for the end,waiting for the end,4.91,2010,17
rebellion,the hunting party: acapellas + instrumentals,3.74,2014,20
burning in the skies,a thousand suns,4.22,2010,9
opening,reanimation,1.13,2002,22
until it breaks,living things: acapellas and instrumentals,3.72,2012,20
lies greed misery,living things: acapellas and instrumentals,2.25,2012,20
mark the graves,the hunting party: acapellas + instrumentals,5.03,2014,19
wastelands,the hunting party: acapellas + instrumentals,3.3,2014,22
plc.4 mie hæd,reanimation,4.35,2002,24
a line in the sand,the hunting party: acapellas + instrumentals,6.58,2014,19
my<dsmbr,reanimation,4.29,2002,22
the summoning,the hunting party: acapellas + instrumentals,1.03,2014,24
mark the graves,the hunting party: acapellas + instrumentals,5.08,2014,18
ppr:kut,reanimation,3.44,2002,8
ppr:kut,reanimation,3.44,2002,23
x,reanimation,1.82,2002,22
wastelands,the hunting party: acapellas + instrumentals,3.27,2014,20
the catalyst,waiting for the end,3.1,2010,15
h! vltg3,reanimation,3.51,2002,22
war,the hunting party: acapellas + instrumentals,2.19,2014,20
in pieces,minutes to midnight,3.63,2007,13
numb,numb,3.45,2004,16
valentine's day,minutes to midnight,3.28,2007,13
no roads left,minutes to midnight,3.81,2007,15
rnw@y,reanimation,3.22,2002,21
by_myslf,reanimation,3.71,2002,22
the messenger,a thousand suns,3.03,2010,7
numb,numb,3.42,2004,15
darker than blood,darker than blood,4.38,2015,15
a light that never comes remix,a light that never comes remix,4.67,2014,16
robot boy,a thousand suns,4.48,2010,6
the little things give you away,minutes to midnight,6.39,2007,10
kyur4 th ich,reanimation,2.54,2002,19
in between,minutes to midnight,3.28,2007,9
the requiem,a thousand suns,2.02,2010,6
fallout,a thousand suns,1.38,2010,4
frgt,reanimation,3.53,2002,5
wake,minutes to midnight,1.68,2007,8
enth e nd,reanimation,4.0,2002,5
"wisdom, justice, and love",a thousand suns,1.65,2010,4
krwlng,reanimation,5.67,2002,5
numb,numb,3.13,2021,13
1stp klosr,reanimation,5.77,2002,4
jornada del muerto,a thousand suns,1.58,2010,5
bonus beat,numb,1.71,2004,11
x,reanimation,1.82,2002,4
